API,oil/day,Date
05123454280000,320.90,10/1/19
05123454280000,249.37,11/1/19
05123454280000,217.32,12/1/19
05123454280000,167.32,1/1/20
05123454280000,143.24,2/1/20
05123454280000,126.97,3/1/20
05123454280000,124.63,4/1/20
05123454280000,118.77,5/1/20
05123454280000,105.27,6/1/20
05123454280000,109.06,7/1/20
05123454280000,97.97,8/1/20
05123454280000,91.07,9/1/20
05123454280000,85.68,10/1/20
05123454280000,78.80,11/1/20
05123454280000,73.55,12/1/20
05123454280000,71.35,1/1/21
05123454280000,69.57,2/1/21
05123454280000,58.61,3/1/21
05123454280000,54.87,4/1/21
05123454280000,50.03,5/1/21
05123454280000,48.33,6/1/21
05123454280000,45.97,7/1/21
05123454280000,42.61,8/1/21
05123454280000,40.53,9/1/21
05123454280000,39.16,10/1/21
05123454280000,37.53,11/1/21
05123454280000,36.61,12/1/21
05123454290000,#VALUE!,7/1/19
05123454290000,330.16,8/1/19
05123454290000,497.13,9/1/19
05123454290000,385.00,10/1/19
05123454290000,426.50,11/1/19
05123454290000,410.45,12/1/19
05123454290000,345.32,1/1/20
05123454290000,287.38,2/1/20
05123454290000,239.61,3/1/20
05123454290000,220.60,4/1/20
05123454290000,193.55,5/1/20
05123454290000,167.10,6/1/20
05123454290000,154.81,7/1/20
05123454290000,143.39,8/1/20
05123454290000,130.83,9/1/20
05123454290000,125.19,10/1/20
05123454290000,121.82,11/1/20
05123454290000,0.82,12/1/20
05123454290000,42.39,1/1/21
05123454290000,63.21,2/1/21
05123454290000,70.42,3/1/21
05123454290000,67.73,4/1/21
05123454290000,69.03,5/1/21
05123454290000,62.87,6/1/21
05123454290000,62.29,7/1/21
05123454290000,62.90,8/1/21
05123454290000,61.00,9/1/21
05123454290000,67.45,10/1/21
05123454290000,63.37,11/1/21
05123454290000,54.74,12/1/21
05123454330000,#VALUE!,7/1/19
05123454330000,246.89,8/1/19
05123454330000,503.47,9/1/19
05123454330000,481.82,10/1/19
05123454330000,455.82,11/1/19
05123454330000,369.90,12/1/19
05123454330000,157.38,1/1/20
05123454330000,336.46,2/1/20
05123454330000,282.35,3/1/20
05123454330000,248.17,4/1/20
05123454330000,216.45,5/1/20
05123454330000,189.80,6/1/20
05123454330000,175.45,7/1/20
05123454330000,160.23,8/1/20
05123454330000,150.40,9/1/20
05123454330000,139.58,10/1/20
05123454330000,126.50,11/1/20
05123454330000,34.11,12/1/20
05123454330000,76.06,1/1/21
05123454330000,64.21,2/1/21
05123454330000,63.80,3/1/21
05123454330000,67.07,4/1/21
05123454330000,68.71,5/1/21
05123454330000,70.87,6/1/21
05123454330000,69.03,7/1/21
05123454330000,64.48,8/1/21
05123454330000,61.90,9/1/21
05123454330000,60.26,10/1/21
05123454330000,60.00,11/1/21
05123454330000,62.00,12/1/21
05123454370000,#VALUE!,7/1/19
05123454370000,281.42,8/1/19
05123454370000,472.37,9/1/19
05123454370000,335.00,10/1/19
05123454370000,434.75,11/1/19
05123454370000,341.71,12/1/19
05123454370000,331.23,1/1/20
05123454370000,223.59,2/1/20
05123454370000,171.97,3/1/20
05123454370000,151.87,4/1/20
05123454370000,126.97,5/1/20
05123454370000,107.90,6/1/20
05123454370000,96.10,7/1/20
05123454370000,85.35,8/1/20
05123454370000,76.13,9/1/20
05123454370000,72.39,10/1/20
05123454370000,63.54,11/1/20
05123454370000,21.63,12/1/20
05123454370000,53.55,1/1/21
05123454370000,49.04,2/1/21
05123454370000,51.23,3/1/21
05123454370000,53.47,4/1/21
05123454370000,65.48,5/1/21
05123454370000,62.10,6/1/21
05123454370000,58.61,7/1/21
05123454370000,53.45,8/1/21
05123454370000,50.00,9/1/21
05123454370000,47.42,10/1/21
05123454370000,45.13,11/1/21
05123454370000,44.68,12/1/21
05123454580000,187.04,7/1/19
05123454580000,349.61,8/1/19
05123454580000,424.46,9/1/19
05123454580000,420.90,10/1/19
05123454580000,371.63,11/1/19
05123454580000,311.26,12/1/19
05123454580000,254.10,1/1/20
05123454580000,217.34,2/1/20
05123454580000,205.87,3/1/20
05123454580000,194.13,4/1/20
05123454580000,169.16,5/1/20
05123454580000,144.17,6/1/20
05123454580000,134.84,7/1/20
05123454580000,125.16,8/1/20
05123454580000,119.30,9/1/20
