API,oil/day,Date
05123477610000,0.52,3/1/21
05123477610000,0.53,4/1/21
05123477610000,0.48,5/1/21
05123477610000,0.43,6/1/21
05123477610000,0.45,7/1/21
05123477610000,0.42,8/1/21
05123477610000,0.40,9/1/21
05123477610000,0.39,10/1/21
05123477610000,0.37,11/1/21
05123477610000,0.39,12/1/21
05123477630000,165.00,8/1/19
05123477630000,228.53,9/1/19
05123477630000,256.32,10/1/19
05123477630000,319.14,11/1/19
05123477630000,259.03,12/1/19
05123477630000,191.45,1/1/20
05123477630000,184.41,2/1/20
05123477630000,151.39,3/1/20
05123477630000,54.67,4/1/20
05123477630000,77.39,5/1/20
05123477630000,88.30,6/1/20
05123477630000,83.00,7/1/20
05123477630000,74.42,8/1/20
05123477630000,63.97,9/1/20
05123477630000,60.97,10/1/20
05123477630000,60.27,11/1/20
05123477630000,60.23,12/1/20
05123477630000,57.52,1/1/21
05123477630000,49.43,2/1/21
05123477630000,48.90,3/1/21
05123477630000,50.20,4/1/21
05123477630000,38.39,5/1/21
05123477630000,33.83,6/1/21
05123477630000,29.52,7/1/21
05123477630000,24.32,8/1/21
05123477630000,24.70,9/1/21
05123477630000,30.29,10/1/21
05123477630000,32.27,11/1/21
05123477630000,32.61,12/1/21
05123477600000,124.81,8/1/19
05123477600000,214.67,9/1/19
05123477600000,268.68,10/1/19
05123477600000,258.86,11/1/19
05123477600000,198.93,12/1/19
05123477600000,142.61,1/1/20
05123477600000,119.53,2/1/20
05123477600000,91.55,3/1/20
05123477600000,54.30,4/1/20
05123477600000,81.00,5/1/20
05123477600000,75.33,6/1/20
05123477600000,64.42,7/1/20
05123477600000,58.68,8/1/20
05123477600000,54.43,9/1/20
05123477600000,49.97,10/1/20
05123477600000,46.60,11/1/20
05123477600000,41.68,12/1/20
05123477600000,35.55,1/1/21
05123477600000,46.11,2/1/21
05123477600000,27.48,3/1/21
05123477600000,32.63,4/1/21
05123477600000,38.48,5/1/21
05123477600000,42.67,6/1/21
05123477600000,39.45,7/1/21
05123477600000,38.00,8/1/21
05123477600000,36.87,9/1/21
05123477600000,33.94,10/1/21
05123477600000,26.07,11/1/21
05123477600000,17.39,12/1/21
05123477590100,224.68,8/1/19
05123477590100,282.33,9/1/19
05123477590100,290.55,10/1/19
05123477590100,161.79,11/1/19
05123477590100,195.17,12/1/19
05123477590100,168.41,1/1/20
05123477590100,119.86,2/1/20
05123477590100,119.35,3/1/20
05123477590100,87.27,4/1/20
05123477590100,120.52,5/1/20
05123477590100,105.33,6/1/20
05123477590100,90.10,7/1/20
05123477590100,82.58,8/1/20
05123477590100,75.40,9/1/20
05123477590100,68.87,10/1/20
05123477590100,62.17,11/1/20
05123477590100,57.97,12/1/20
05123477590100,55.58,1/1/21
05123477590100,50.11,2/1/21
05123477590100,46.13,3/1/21
05123477590100,48.23,4/1/21
05123477590100,55.13,5/1/21
05123477590100,53.40,6/1/21
05123477590100,51.58,7/1/21
05123477590100,46.45,8/1/21
05123477590100,38.23,9/1/21
05123477590100,35.48,10/1/21
05123477590100,34.97,11/1/21
05123477590100,32.48,12/1/21
05123477580000,258.87,8/1/19
05123477580000,333.33,9/1/19
05123477580000,412.26,10/1/19
05123477580000,403.31,11/1/19
05123477580000,323.48,12/1/19
05123477580000,243.81,1/1/20
05123477580000,193.89,2/1/20
05123477580000,191.61,3/1/20
05123477580000,73.20,4/1/20
05123477580000,97.10,5/1/20
05123477580000,110.80,6/1/20
05123477580000,102.29,7/1/20
05123477580000,93.35,8/1/20
05123477580000,89.57,9/1/20
05123477580000,79.23,10/1/20
05123477580000,77.73,11/1/20
05123477580000,77.47,12/1/20
05123477580000,71.55,1/1/21
05123477580000,69.79,2/1/21
05123477580000,64.52,3/1/21
05123477580000,66.73,4/1/21
05123477580000,60.81,5/1/21
05123477580000,59.07,6/1/21
05123477580000,54.68,7/1/21
05123477580000,55.48,8/1/21
05123477580000,50.60,9/1/21
05123477580000,49.29,10/1/21
05123477580000,50.83,11/1/21
05123477580000,49.42,12/1/21
05123477620100,108.20,9/1/19
05123477620100,96.30,10/1/19
05123477620100,135.66,11/1/19
05123477620100,141.93,12/1/19
05123477620100,119.96,1/1/20
05123477620100,89.35,2/1/20
05123477620100,90.13,3/1/20
05123477620100,82.17,4/1/20
05123477620100,79.94,5/1/20
05123477620100,70.30,6/1/20
05123477620100,65.10,7/1/20
05123477620100,58.48,8/1/20
05123477620100,50.53,9/1/20
05123477620100,47.26,10/1/20
05123477620100,45.17,11/1/20
05123477620100,45.74,12/1/20
05123477620100,40.58,1/1/21
05123477620100,36.50,2/1/21
05123477620100,37.84,3/1/21
05123477620100,39.23,4/1/21
05123477620100,34.26,5/1/21
05123477620100,35.17,6/1/21
05123477620100,30.74,7/1/21
05123477620100,29.61,8/1/21
05123477620100,27.57,9/1/21
05123477620100,25.65,10/1/21
05123477620100,22.60,11/1/21
05123477620100,24.61,12/1/21
05123472960100,197.48,8/1/19
05123472960100,278.40,9/1/19
05123472960100,250.58,10/1/19
05123472960100,243.76,11/1/19
05123472960100,226.67,12/1/19
05123472960100,187.40,1/1/20
05123472960100,157.14,2/1/20
05123472960100,146.03,3/1/20
05123472960100,122.20,4/1/20
05123472960100,119.03,5/1/20
05123472960100,108.27,6/1/20
05123472960100,102.55,7/1/20
05123472960100,94.84,8/1/20
05123472960100,84.50,9/1/20
05123472960100,76.39,10/1/20
05123472960100,66.83,11/1/20
05123472960100,70.84,12/1/20
05123472960100,69.61,1/1/21
05123472960100,73.00,2/1/21
05123472960100,69.35,3/1/21
05123472960100,70.53,4/1/21
05123472960100,66.58,5/1/21
05123472960100,66.27,6/1/21
05123472960100,62.61,7/1/21
05123472960100,61.26,8/1/21
05123472960100,59.00,9/1/21
05123472960100,57.03,10/1/21
05123472960100,56.00,11/1/21
05123472960100,52.81,12/1/21
05123472950000,2.24,7/1/19
05123472950000,234.29,8/1/19
05123472950000,265.83,9/1/19
05123472950000,290.90,10/1/19
05123472950000,337.55,11/1/19
05123472950000,262.48,12/1/19
05123472950000,246.65,1/1/20
05123472950000,196.24,2/1/20
05123472950000,157.19,3/1/20
05123472950000,104.23,4/1/20
05123472950000,153.61,5/1/20
05123472950000,146.57,6/1/20
05123472950000,131.94,7/1/20
05123472950000,124.29,8/1/20
05123472950000,113.83,9/1/20
05123472950000,103.55,10/1/20
05123472950000,97.67,11/1/20
05123472950000,94.48,12/1/20
05123472950000,93.48,1/1/21
05123472950000,86.82,2/1/21
05123472950000,79.90,3/1/21
05123472950000,82.27,4/1/21
05123472950000,74.74,5/1/21
05123472950000,70.40,6/1/21
05123472950000,65.87,7/1/21
05123472950000,64.90,8/1/21
05123472950000,60.23,9/1/21
05123472950000,60.23,10/1/21
05123472950000,58.77,11/1/21
05123472950000,53.87,12/1/21
05123473120000,16.78,6/1/19
05123473120000,20.42,7/1/19
05123473120000,25.48,8/1/19
05123473120000,23.87,9/1/19
05123473120000,19.58,10/1/19
05123473120000,15.00,11/1/19
05123473120000,13.13,12/1/19
05123473120000,11.20,1/1/20
05123473120000,10.90,2/1/20
05123473120000,8.90,3/1/20
05123473120000,7.63,4/1/20
05123473120000,7.17,5/1/20
05123473120000,6.57,6/1/20
05123473120000,5.94,7/1/20
05123473120000,5.68,8/1/20
05123473120000,5.57,9/1/20
05123473120000,4.90,10/1/20
05123473120000,4.53,11/1/20
05123473120000,4.39,12/1/20
05123473120000,4.03,1/1/21
05123473120000,4.79,2/1/21
05123473120000,4.06,3/1/21
05123473120000,4.17,4/1/21
05123473120000,3.81,5/1/21
05123473120000,3.90,6/1/21
05123473120000,3.58,7/1/21
05123473120000,3.55,8/1/21
05123473120000,3.53,9/1/21
05123473120000,3.35,10/1/21
05123473120000,3.27,11/1/21
05123473120000,3.13,12/1/21
05123477590100,14.00,8/1/19
05123477590100,17.60,9/1/19
05123477590100,18.13,10/1/19
05123477590100,10.11,11/1/19
05123477590100,11.45,12/1/19
05123477590100,10.52,1/1/20
05123477590100,7.46,2/1/20
05123477590100,7.45,3/1/20
05123477590100,5.43,4/1/20
05123477590100,7.52,5/1/20
05123477590100,6.57,6/1/20
05123477590100,5.61,7/1/20
05123477590100,5.16,8/1/20
05123477590100,4.70,9/1/20
05123477590100,4.29,10/1/20
05123477590100,3.87,11/1/20
05123477590100,3.61,12/1/20
05123477590100,3.45,1/1/21
05123477590100,3.11,2/1/21
05123477590100,2.87,3/1/21
05123477590100,3.00,4/1/21
05123477590100,3.45,5/1/21
05123477590100,3.33,6/1/21
05123477590100,3.23,7/1/21
05123477590100,2.90,8/1/21
05123477590100,2.37,9/1/21
05123477590100,2.23,10/1/21
05123477590100,2.17,11/1/21
05123477590100,2.03,12/1/21
05123477610000,6.61,8/1/19
05123477610000,9.03,9/1/19
05123477610000,10.03,10/1/19
05123477610000,9.36,11/1/19
05123477610000,4.71,12/1/19
05123477610000,3.12,1/1/20
05123477610000,6.21,2/1/20
05123477610000,5.16,3/1/20
05123477610000,1.27,4/1/20
05123477610000,3.87,5/1/20
05123477610000,2.97,6/1/20
05123477610000,2.65,7/1/20
05123477610000,2.45,8/1/20
05123477610000,2.37,9/1/20
05123477610000,2.13,10/1/20
05123477610000,2.13,11/1/20
05123477610000,1.97,12/1/20
05123477610000,1.90,1/1/21
05123477610000,1.79,2/1/21
05123477610000,1.71,3/1/21
05123477610000,1.80,4/1/21
05123477610000,1.61,5/1/21
05123477610000,1.47,6/1/21
05123477610000,1.52,7/1/21
05123477610000,1.39,8/1/21
05123477610000,1.30,9/1/21
05123477610000,1.32,10/1/21
05123477610000,1.23,11/1/21
05123477610000,1.29,12/1/21
05123473070100,13.41,6/1/19
05123473070100,21.65,7/1/19
05123473070100,26.90,8/1/19
05123473070100,28.03,9/1/19
05123473070100,24.29,10/1/19
05123473070100,21.41,11/1/19
05123473070100,18.43,12/1/19
05123473070100,15.63,1/1/20
05123473070100,9.52,2/1/20
05123473070100,7.81,3/1/20
05123473070100,12.80,4/1/20
05123473070100,11.57,5/1/20
05123473070100,1.10,6/1/20
05123473070100,8.84,7/1/20
05123473070100,8.06,8/1/20
05123473070100,7.67,9/1/20
05123473070100,6.68,10/1/20
05123473070100,6.70,11/1/20
05123473070100,6.32,12/1/20
05123473070100,6.00,1/1/21
05123473070100,5.61,2/1/21
05123473070100,5.52,3/1/21
05123473070100,5.53,4/1/21
05123473070100,5.13,5/1/21
05123473070100,5.13,6/1/21
05123473070100,4.87,7/1/21
05123473070100,4.65,8/1/21
05123473070100,4.43,9/1/21
05123473070100,4.26,10/1/21
05123473070100,4.17,11/1/21
05123473070100,4.00,12/1/21
05123459580000,4.78,7/1/19
05123459580000,15.68,8/1/19
05123459580000,17.63,9/1/19
05123459580000,16.97,10/1/19
05123459580000,14.93,11/1/19
05123459580000,188.33,12/1/19
05123459580000,129.30,1/1/20
05123459580000,167.44,2/1/20
05123459580000,113.06,3/1/20
05123459580000,115.10,4/1/20
05123459580000,105.00,5/1/20
05123459580000,95.23,6/1/20
05123459580000,87.06,7/1/20
05123459580000,80.06,8/1/20
05123459580000,76.70,9/1/20
05123459580000,78.84,10/1/20
05123459580000,71.20,11/1/20
05123459580000,68.42,12/1/20
05123459580000,62.48,1/1/21
05123459580000,58.71,2/1/21
05123459580000,53.74,3/1/21
05123459580000,56.27,4/1/21
05123459580000,55.42,5/1/21
05123459580000,53.93,6/1/21
05123459580000,49.06,7/1/21
05123459580000,3.13,8/1/21
05123459580000,49.13,9/1/21
05123459580000,48.03,10/1/21
05123459580000,47.23,11/1/21
05123459580000,55.84,12/1/21
05123472960100,4.88,8/1/19
05123472960100,6.87,9/1/19
05123472960100,6.19,10/1/19
05123472960100,6.03,11/1/19
05123472960100,5.47,12/1/19
05123472960100,4.63,1/1/20
05123472960100,3.90,2/1/20
05123472960100,3.61,3/1/20
05123472960100,3.03,4/1/20
05123472960100,2.94,5/1/20
05123472960100,2.67,6/1/20
05123472960100,2.52,7/1/20
05123472960100,2.35,8/1/20
05123472960100,2.10,9/1/20
05123472960100,1.87,10/1/20
05123472960100,1.67,11/1/20
05123472960100,1.74,12/1/20
05123472960100,1.71,1/1/21
05123472960100,1.79,2/1/21
05123472960100,1.71,3/1/21
05123472960100,1.73,4/1/21
05123472960100,1.65,5/1/21
05123472960100,1.63,6/1/21
05123472960100,1.55,7/1/21
05123472960100,1.52,8/1/21
05123472960100,1.47,9/1/21
05123472960100,1.42,10/1/21
05123472960100,1.37,11/1/21
05123472960100,1.29,12/1/21
05123473050000,293.22,6/1/19
05123473050000,417.16,7/1/19
05123473050000,509.97,8/1/19
05123473050000,505.57,9/1/19
05123473050000,380.61,10/1/19
05123473050000,307.00,11/1/19
05123473050000,270.43,12/1/19
05123473050000,212.32,1/1/20
05123473050000,152.90,2/1/20
05123473050000,181.19,3/1/20
05123473050000,156.43,4/1/20
05123473050000,139.45,5/1/20
05123473050000,129.87,6/1/20
05123473050000,115.13,7/1/20
05123473050000,111.03,8/1/20
05123473050000,98.77,9/1/20
05123473050000,100.48,10/1/20
05123473050000,94.47,11/1/20
05123473050000,87.45,12/1/20
05123473050000,79.77,1/1/21
05123473050000,69.86,2/1/21
05123473050000,66.29,3/1/21
05123473050000,64.77,4/1/21
05123473050000,51.26,5/1/21
05123473050000,50.23,6/1/21
05123473050000,39.42,7/1/21
05123473050000,50.35,8/1/21
05123473050000,40.57,9/1/21
05123473050000,38.74,10/1/21
05123473050000,40.40,11/1/21
05123473050000,33.03,12/1/21
