API,oil/day,Date
05123371460000,11.71,3/1/19
05123371460000,1.50,4/1/19
05123371460000,#VALUE!,5/1/19
05123371460000,30.94,6/1/19
05123371460000,14.40,7/1/19
05123371460000,6.77,8/1/19
05123371460000,9.58,9/1/19
05123371460000,12.86,10/1/19
05123371460000,8.73,11/1/19
05123371460000,6.81,12/1/19
05123371460000,7.26,1/1/20
05123371460000,8.34,2/1/20
05123371460000,8.74,3/1/20
05123371460000,7.93,4/1/20
05123371460000,7.48,5/1/20
05123371460000,7.37,6/1/20
05123371460000,7.52,7/1/20
05123371460000,7.52,8/1/20
05123371460000,7.40,9/1/20
05123371460000,7.23,10/1/20
05123371460000,7.33,11/1/20
05123371460000,7.10,12/1/20
05123371460000,7.23,1/1/21
05123371460000,7.14,2/1/21
05123371460000,6.55,3/1/21
05123371460000,6.77,4/1/21
05123371460000,6.48,5/1/21
05123371460000,6.10,6/1/21
05123371460000,6.03,7/1/21
05123371460000,6.03,8/1/21
05123371460000,5.97,9/1/21
05123371460000,6.16,10/1/21
05123371460000,6.17,11/1/21
05123371460000,6.19,12/1/21
05123371470000,330.07,10/1/13
05123371470000,426.07,11/1/13
05123371470000,268.20,12/1/13
05123371470000,201.70,1/1/14
05123371470000,171.32,2/1/14
05123371470000,135.35,3/1/14
05123371470000,118.10,4/1/14
05123371470000,122.17,5/1/14
05123371470000,110.00,6/1/14
05123371470000,82.57,7/1/14
05123371470000,76.42,8/1/14
05123371470000,66.03,9/1/14
05123371470000,61.52,10/1/14
05123371470000,51.90,11/1/14
05123371470000,49.03,12/1/14
05123371470000,49.06,1/1/15
05123371470000,40.86,2/1/15
05123371470000,42.58,3/1/15
05123371470000,40.27,4/1/15
05123371470000,38.35,5/1/15
05123371470000,36.77,6/1/15
05123371470000,37.13,7/1/15
05123371470000,34.81,8/1/15
05123371470000,32.37,9/1/15
05123371470000,30.87,10/1/15
05123371470000,29.37,11/1/15
05123371470000,21.71,12/1/15
05123371470000,29.48,1/1/16
05123371470000,30.90,2/1/16
05123371470000,28.32,3/1/16
05123371470000,25.73,4/1/16
05123371470000,23.68,5/1/16
05123371470000,20.43,6/1/16
05123371470000,30.74,7/1/16
05123371470000,24.23,8/1/16
05123371470000,8.11,9/1/16
05123371470000,32.77,10/1/16
05123371470000,23.03,11/1/16
05123371470000,24.35,12/1/16
05123371470000,24.39,1/1/17
05123371470000,19.71,2/1/17
05123371470000,25.13,3/1/17
05123371470000,21.83,4/1/17
05123371470000,20.68,5/1/17
05123371470000,16.73,6/1/17
05123371470000,19.55,7/1/17
05123371470000,19.42,8/1/17
05123371470000,17.57,9/1/17
05123371470000,9.65,10/1/17
05123371470000,18.43,11/1/17
05123371470000,18.06,12/1/17
05123371470000,17.81,1/1/18
05123371470000,16.64,2/1/18
05123371470000,17.13,3/1/18
05123371470000,14.77,4/1/18
05123371470000,14.90,5/1/18
05123371470000,8.54,6/1/18
05123371470000,11.10,7/1/18
05123371470000,10.84,8/1/18
05123371470000,11.27,9/1/18
05123371470000,11.61,10/1/18
05123371470000,11.39,11/1/18
05123371470000,11.97,12/1/18
05123371470000,12.26,1/1/19
05123371470000,11.61,2/1/19
05123371470000,11.06,3/1/19
05123371470000,1.00,4/1/19
05123371470000,#VALUE!,5/1/19
05123371470000,12.40,6/1/19
05123371470000,12.32,7/1/19
05123371470000,6.93,8/1/19
05123371470000,7.00,9/1/19
05123371470000,9.71,10/1/19
05123371470000,12.73,11/1/19
05123371470000,11.32,12/1/19
05123371470000,10.65,1/1/20
05123371470000,10.79,2/1/20
05123371470000,11.13,3/1/20
05123371470000,10.00,4/1/20
05123371470000,10.29,5/1/20
05123371470000,9.93,6/1/20
05123371470000,9.77,7/1/20
05123371470000,10.03,8/1/20
05123371470000,10.10,9/1/20
05123371470000,9.90,10/1/20
05123371470000,10.00,11/1/20
05123371470000,9.32,12/1/20
05123371470000,8.97,1/1/21
05123371470000,9.75,2/1/21
05123371470000,7.21,3/1/21
05123371470000,8.87,4/1/21
05123371470000,8.23,5/1/21
05123371470000,8.07,6/1/21
05123371470000,8.10,7/1/21
05123371470000,8.13,8/1/21
05123371470000,7.97,9/1/21
05123371470000,8.00,10/1/21
05123371470000,7.07,11/1/21
05123371470000,6.35,12/1/21
05123371490000,346.58,9/1/13
05123371490000,452.68,10/1/13
05123371490000,331.63,11/1/13
05123371490000,260.82,12/1/13
05123371490000,214.57,1/1/14
05123371490000,169.75,2/1/14
05123371490000,147.23,3/1/14
05123371490000,128.03,4/1/14
05123371490000,108.68,5/1/14
05123371490000,102.07,6/1/14
05123371490000,90.97,7/1/14
05123371490000,83.29,8/1/14
05123371490000,74.27,9/1/14
05123371490000,70.48,10/1/14
05123371490000,62.30,11/1/14
05123371490000,57.10,12/1/14
05123371490000,52.29,1/1/15
05123371490000,49.61,2/1/15
05123371490000,48.97,3/1/15
05123371490000,43.80,4/1/15
05123371490000,42.23,5/1/15
05123371490000,38.20,6/1/15
05123371490000,34.32,7/1/15
05123371490000,34.81,8/1/15
05123371490000,32.20,9/1/15
05123371490000,31.81,10/1/15
05123371490000,30.50,11/1/15
05123371490000,18.42,12/1/15
05123371490000,29.65,1/1/16
05123371490000,26.38,2/1/16
05123371490000,27.45,3/1/16
05123371490000,23.87,4/1/16
05123371490000,22.26,5/1/16
05123371490000,21.93,6/1/16
05123371490000,30.43,7/1/16
05123371490000,24.68,8/1/16
05123371490000,19.19,9/1/16
05123371490000,23.26,10/1/16
05123371490000,17.33,11/1/16
05123371490000,15.00,12/1/16
05123371490000,13.10,1/1/17
05123371490000,13.46,2/1/17
05123371490000,13.58,3/1/17
05123371490000,12.77,4/1/17
05123371490000,10.94,5/1/17
05123371490000,11.93,6/1/17
05123371490000,13.55,7/1/17
05123371490000,12.65,8/1/17
05123371490000,11.60,9/1/17
05123371490000,12.24,10/1/17
05123371490000,15.83,11/1/17
05123371490000,14.45,12/1/17
05123371490000,14.58,1/1/18
05123371490000,12.82,2/1/18
05123371490000,12.23,3/1/18
05123371490000,12.00,4/1/18
05123371490000,12.23,5/1/18
05123371490000,10.80,6/1/18
05123371490000,12.29,7/1/18
05123371490000,11.03,8/1/18
05123371490000,11.20,9/1/18
05123371490000,10.94,10/1/18
05123371490000,10.29,11/1/18
